,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2126,0.487,0.678,-5.886,0.0336,0.000105,0.000509,0.375,0.208,125.054
2127,0.423,0.5,-6.145,0.0282,0.157,0.0,0.215,0.204,138.529
2128,0.505,0.81,-5.026,0.0341,0.0187,0.0,0.369,0.565,81.029
2129,0.695,0.39,-8.994,0.0243,0.462,4.25e-06,0.141,0.214,104.988
2130,0.516,0.812,-5.014,0.0561,0.000561,0.000303,0.327,0.546,127.921
2131,0.521,0.382,-8.229,0.028,0.343,1.72e-06,0.0776,0.202,60.269
2132,0.517,0.952,-3.226,0.0689,0.0296,0.0,0.935,0.452,119.988
2133,0.462,0.919,-4.436,0.0534,0.0727,2.23e-06,0.628,0.462,122.737
2134,0.525,0.929,-4.441,0.0508,0.0215,1.21e-06,0.95,0.604,121.288
2135,0.375,0.943,-3.981,0.129,0.00344,9.82e-05,0.694,0.358,122.22
2136,0.36,0.872,-5.028,0.049,0.157,7.48e-06,0.349,0.323,127.21
2137,0.373,0.951,-4.893,0.0518,4.27e-06,0.0498,0.924,0.426,141.26
2138,0.339,0.796,-5.71,0.0456,0.103,0.000303,0.972,0.358,105.181
2139,0.281,0.634,-5.256,0.0338,0.0181,0.00017,0.632,0.252,148.765
